id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
1624852631401494,tx,05f5f621229ad2dba5c35c6b8c69549e998ce4e44d198af89bb1a041df5b2e2e,90328,000000000000765795204a862f672cc55adf7ee71145b4ff273d3f4932b41120,0,1,5000000000,1,5000000000,140095
coinbase90349,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase90357,coinbase,"",-1,"",0,0,0,1,5000000000,-1
coinbase90485,coinbase,"",-1,"",0,0,0,1,5000000000,-1
3016535740780934,tx,1c7970734661b880b1489b7d2bf286c17a2ab9648e76bfe793328c40aa2fbc55,90543,00000000000ade8b25cea67c284101632ee44fc93ee98784b37f7ac0f9be5cd0,0,1,5010000000,2,5010000000,140494
5405775148664078,tx,e554b035b50b89b698342230a94e6639c2d76f97d6b0b325ad7328c6db30a499,90632,00000000000ea3b2d6f8f409fa01da3f59039e912ea7c7e15b83fabb123d328a,0,1,5000000000,1,5000000000,140663
7542616865686792,tx,463a94caf7530e919d3cbb958cb3a18334bfedbe79220a9ef44728a6b7c25fd6,90779,0000000000071a67acbac3db22f3d32555ac5e8794bbeb259629f8f5e65ac653,0,1,5000000000,1,5000000000,140934
4665271951288588,tx,2914aff10286dbdf66bd33b3ad380e82a0cebfd614c626b53163487f2b529884,90846,000000000005c27b365dcd55f719e3c4444d941c1021b53b0aad3c7f5ee10fae,0,1,5000000000,1,5000000000,141078
7167080609631502,tx,451c7d4a951a266657e0b9c177105c2f325b7317fde1f16a28736882ee5fb3cb,90922,0000000000045d81db51979a03edd2902ba61b41dc12bc55ff65b675578bfaa3,0,1,5000000000,1,5000000000,141211
7778123858711088,tx,02ca0459f9d186f080d57e905329dc3ed7c9642204ac24f5648491f0ac4c11dd,91042,0000000000034de9c79d03d21f1737e87ec9147d8bd3b28feb6c6d66908054e5,0,1,5000000000,1,5000000000,141452
55262307314093,tx,1c46aaeeb6a529c7adeaeed06b2956f1740494b0828241e0cb684d9311169201,91213,000000000007b5c4c1ff1c1ba5762d72ffb4a28d81426f377a49e3402f50a21d,0,1,47645000000,2,47645000000,141755
