id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output,temporal_index
3500625160769771,tx,aa1bed57f23361d9970874b7e1ffddee1cedf8bc4d3c25998c5a879879667e63,72815,00000000008d6c3f867b1a106d294909962c66ff18d7226a10fa30e5262e8d0f,0,1,5000000000,1,5000000000,100759
272157584806495,tx,01407585f15dc5c9bcb2f2fd1d17b7daa8367da460a6067e8aff92520135bc07,74456,000000000005c15ffba359e7239267b83b5fcc5c3547f08c8eb3c769a1bb3ac0,0,1,5000000000,1,5000000000,103862
3773542945661618,tx,446d5fc9b660d8e1894716d73ea2597147eaef9814688607a29715917623406b,77269,0000000000015d9a5447fac74f35dd12e4bed5a051a97ae353754f966116977f,0,1,5000000000,1,5000000000,109450
3616613284656719,tx,324193ce1975f32fd2d18aa4bbc639a73335f4eefd2c3b084979b2f93053ca66,78322,00000000003ab0164a1d25273e9559a3e68f9cabd321048903f22a5bbf3bc3cb,0,1,5000000000,1,5000000000,111576
2273278763413545,tx,4968f077bbbf36fe9fb9cdc9529d82184fcbac439e68fa2c984c8159a9479c40,79123,000000000025d245795193334ba61874d24847997b052b98c255cc4a8d561602,0,1,5000000000,1,5000000000,113166
7192158294740496,tx,c3a4f433a53d8588a13584db8532c949e26bc3a6312ab4c40e81709cc2d669cc,79158,0000000000118e7b7b0b3f2205e55cbfd07310bb5d8d61657111062e54f0c8ea,0,1,315000000,2,315000000,113246
2495701988989851,tx,d1e6081dc323de67abc122d48f645ced6e116f296d92c0df10dddc26349fee46,79474,0000000000328a477ccff380ba0aee7e73ea64e56ef6cac8b0f3878623fc9731,0,1,5000000000,1,5000000000,113908
3002283448376746,tx,9f548f973deb51f681765ee18533d68bd403da79e841cd9c2250eda4b37c5455,79932,000000000007e42410598178851106073d7ef8cd21510d5ff5dd7133da907123,0,1,1000000,1,1000000,115011
278058284182715,tx,7dda009910e6b4a4f9a82b3527c42b5d3b05c760847f98c28edb650bea23e707,81700,00000000003b2292575c4277eff80d0ce5cf7df28942724ec4c8e57bcba763df,0,1,5000000000,1,5000000000,119396
3913326709362323,tx,354127240fce263feed151a232359ed6e2f266cafea4896b699b74360333396f,82036,00000000000765c8868fa62aabb4b94728c4588d446348ebea9e09ee838867a1,0,1,21000000,1,21000000,120196
8896347587040084,tx,66cc18cc17a5d5874612efef010f201d68d38c93e6b2bf872da49acaad72d9fc,82309,00000000000e4b022ff3a9be486fd4238948daee8f67312219b70a5d055e4d2a,0,1,4312000000,2,4312000000,120882
6114900126929747,tx,98b7978ed0ec0e03ed53c17ba19d7dfd5bce989591c44f52e99c9a380fc1cbad,82333,0000000000356fe81aeddee512cbc03c2fb802c7084c2e5d6254596a3dc6ae3e,0,1,17000000,2,17000000,120960
3752296715396408,tx,4592888f45bc0fd5858b84cb6515d926dd85b914625c3e0238c02981468da56a,82607,00000000000aef26f83c38494360332a048e144ca998e5184cf76ebbe8f3e9e1,0,1,100000000,1,100000000,121515
1389401316312994,tx,6c6c73b5dc563081d6043467eecb316bedf086af7242f64dbf113d469f397d27,83066,00000000002f0ef61a7d64fe4eb7e0adadb5bd31c633d6652182519d1bc73773,0,17,85000000000,1,85000000000,123430
1430834519083361,tx,3f5499a8a5e5455d21b44a149eca5786621643d1733a5c2d950f4bf0f9b0aa28,83574,00000000001218ca2c45b48e306587ef457912cbb79935f81a880b27a1d5f116,0,3,5205000000,2,5205000000,125081
6015461351303146,tx,f0377785638dd1653cc121bf94de7224d60515823c2aeabb9b553f09e83df8aa,83800,00000000002730e733e4a7e793a4cc047a9423e79d83770a63db588a910141c4,0,1,5000000000,1,5000000000,125689
5184476495140050,tx,7a6bf648a1c6ba75f8aa71927aa3c26919799c5c51e57784f797a6b6fe075a93,84186,00000000002ffef26193648f1cfcba9e9533f8b71beeb63296d09e66f7667140,0,1,15157000000,2,15157000000,126511
3443866666254063,tx,6466e22b0721ebcb8dba76e5bf05758663c5816e53339aa6ec7af75d8a6de161,84974,00000000002c82cdeaeaae8ec96cafd6030c1fbd396a57bc88a0dac3081b2bce,0,1,5000000000,1,5000000000,128263
3629192999571850,tx,45135b24be60b235d0d0ddd6b603fe5cbe3aff77d6c4975064508c7cbcda2567,85775,00000000001dbf90782b6774431c19d1b346e3d801fb64409815b26bf7567341,0,1,115050000000,2,115050000000,129660
4909410403505533,tx,641abc87d3ba9f1b3d45585a34ffeb34d02bc83e9b1f4e55cce8ab4279a9888b,85781,00000000001110a1bf505a7ada32bac268598d2430c238a037e9aefe3203524d,0,1,114850000000,2,114850000000,129672
UTXO35910,UTXO,,-1,,0,1,4000000,0,0,-1
1368603703703385,tx,5151c502851ea5f3ca5ec9db585eb4b7df0f22a8a58b2110d5ccbac70ce7e526,86206,0000000000207e585ca4ec3c01b5896bf53a0aa111d2aee5419ef10ba63bba35,0,1,1000000000,2,1000000000,130826
8321638989011512,tx,46ace26c16460e1187147cb654cba8ccc219d43ebfca3c9b76c5d11c7fe483ec,69630,000000000132e7908ca29729b0cb18be15206356a168665d05ff956301687a4a,0,1,5000000000,1,5000000000,89333
4231021450502969,tx,71a6040def210b54b295258771485494748daf007d46dd7c14c819c194bb4078,69658,00000000008396ae4d3a09236394f671ac150209bc75a1517ed3d7865d91b56a,0,1,1515000000,2,1515000000,89403
3782975027446058,tx,745334ad7c72ad47befcb53b5972ee15d1c1ba85974e1a958a5709a415c4846b,70134,0000000000d45a8a9c79b898f6386dc3adb9267ceb482fa0e788cb0a1906443a,0,1,5000000000,1,5001000000,90866
8984601624300950,tx,b0982d08cee2ef7264dd06ba680692089634a88c5c68359e35b06c1ea2945bff,70184,000000000083b922ef4a511beb98f0f533d24a1ec98c2a29c3a1defa609a7d87,0,1,1566000000,2,1566000000,91376
