id,note,tx_hash,block_height,block_hash,fee,n_input,amount_input,n_output,amount_output
3192725235283078,tx,4a001cd4aeca4ae50157340afa6461524e9a1cd47dbc3af5da31a41d2c22be5a,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1533350000,2,1533350000
5744191634150597,tx,3f5374cb313da991d810f076e3b86a68de88a92c1487ef2d5228a600af7e42a3,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,21142532,2,21142532
UTXO2,UTXO,,-1,,0,1,201000000,0,0
3958075459425518,tx,5e229d701c666a1f0d68961135e8fcc3fd550703f9f6ef26ed71a7060eca7e70,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1319350000,2,1319350000
UTXO3,UTXO,,-1,,0,1,3000000,0,0
7862788897356438,tx,8a40f9d0e0e5bdb9282cdc487478cd1bfdbb950210f5c0d23ab1d45d995179df,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,8142532,2,8142532
4150005151534546,tx,84cc558ad8126ad3d68cafbe4d5760131f25f0deadd07d2034936efcf642f375,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1118350000,2,1118350000
7336596886666018,tx,7f60ec05ea3ee87e40411b838612c43031539dbc73e487670e17d9519ac484d0,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,5142532,2,5142532
7652466703860521,tx,510f9ea11ea2cf970e078a42debb4ad89907de67a1787a3e7b491950fc057fd9,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,1014350000,2,1014350000
4883770229053184,tx,29aa2f4f89383015987387e1feaa3f43ba6df2bf4b055ca66305b856ed1ace8a,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,4142532,2,4142532
UTXO4,UTXO,,-1,,0,1,10000000,0,0
8332330360514225,tx,5e3b6aac1820cc7ccacee5dfe29c73f7b2694f75a7c9d0f2918b3551baaed1ec,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,912350000,2,912350000
1691268581279769,tx,9fef603cbf6b1c63a1ad284f55a4938306a22f676c11e17db5c8400e38991130,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,2142532,2,2142532
7760667657120117,tx,1eaad5526a98cae6ed6605cbf8a5daf29169217a94e2dc6fc0ab4b61f74992dc,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,902350000,2,902350000
5422852648083527,tx,18f16c2a2bd8af5f612631ba660d1c094f571ca66d7e480c5f3a02112e72209a,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,2,21760453,2,21760453
7162684612916209,tx,c062cd60add4421a3472d7a890607a12f84db74122cd40c1ec8d9fedbf6393cb,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,877350000,2,877350000
8822258537825865,tx,64742910dc43ace258ed4b0e91c9352dcbcba6ad50b68012904b321c1261befa,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,866350000,2,866350000
1659084016935458,tx,8078aeb73ad78900f8d79aa7f8961758677bdba7cba95752661411dbcb6c272f,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,766350000,2,766350000
4148827966251436,tx,116ffc273e21fa84f92738b059aa2f895fc34963724decdee8600d4d49b2ea75,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,713350000,2,713350000
1909011559966869,tx,b3e9161fb8074b3d4365dc65b78265472b8e08e03be6d2bdacac443b1fe34136,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,211350000,2,211350000
5690238001905507,tx,32e14105187b221b1021cd6f6506cb3ec5b119fe8795a71f751efb5336eeb9a1,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,130350000,2,130350000
2881453118096915,tx,5db51ffad93b1f668aeb31167c5d9bf3cfc6b52191fd83de2e9c3054ac54e551,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,119350000,2,119350000
2577451752041048,tx,b534576c87e3558125e82c211f270d51fc31d4c8fdeb33773fc752d9006e4149,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,109350000,2,109350000
4494332459280749,tx,f3cc988440ec64d927cf75c9245fb24e34ad99c1625800205f6e4be78d92bc7f,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,9350000,2,9350000
UTXO5,UTXO,,-1,,0,1,2000000,0,0
7515019181132249,tx,168d77725b22cc93ad1d7db58b892eee7f650030f3070624d2ca4e2c06f696d5,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,7350000,2,7350000
1741064565167783,tx,1dd6b06d83d8e9e950af8a32105e019c6ebaafc0e4dd7306e73fb58077e97b31,150005,0000000000000a43df068d144a5854b92d5a866d1c25f324f80077b86acb74e1,0,1,5350000,2,5350000
